Country Name,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Paraguay,1431.8392,1728.340743,5617.104918,6410.814703,6629.416993,5861.401895,5759.042198,6136.058301,6242.961454,5807.838794,5353.348065,5891.499965
Peru,1194.548302,1941.31826,6475.68607,6697.185268,6614.933339,6180.194957,6163.791026,6676.284221,6912.110297,6955.809959,6056.343903,6621.574336
Philippines,820.4871803,1073.263222,2671.777205,2847.566937,2935.925556,2974.299531,3038.149734,3077.43564,3194.674521,3413.847924,3224.422551,3460.530963
Poland,1731.209531,4501.454067,13010.92339,13558.41406,14182.1375,12560.05142,12378.75944,13815.6218,15504.58048,15699.91135,15816.9894,17999.90995
Portugal,7884.617988,11526.37207,20563.7136,21653.19598,22103.70097,19250.10654,19991.97249,21490.42986,23562.55452,23330.81729,22242.40642,24567.50927
Puerto Rico,8652.507492,16192.12697,27944.73389,28513.16574,28981.45733,29763.4883,30627.1634,31108.76057,31615.06679,32916.8668,31393.90737,32640.71034
Qatar,16664.83143,27494.77133,98041.36224,97630.82552,93126.14946,66984.9102,58467.23557,59407.69805,66264.08117,62637.27511,52315.66008,66838.35743
Romania,1680.705623,1659.90764,8930.729912,9497.25499,10031.26727,8976.880535,9404.341874,10727.94969,12494.47747,12958.07556,13047.43206,14858.22943
Russian Federation,3492.710205,1771.594116,15420.875,15974.64453,14095.64844,9313.013672,8704.898438,10720.33301,11287.36035,11536.25098,10169.08691,12194.77734
Rwanda,348.387822,254.9423708,705.7597558,704.0562899,724.3521744,733.4411218,728.43449,756.5476411,769.4373107,806.8799811,774.6892594,822.3479886
Samoa,747.7808483,1406.765683,3902.391701,3989.860174,3948.801128,4048.513876,4105.834468,4261.653789,4188.988532,4308.272753,4042.751224,3857.318464
San Marino,..,37473.78698,48435.94253,50438.39002,50135.48458,42281.64347,43399.4583,44885.79714,48462.96032,47287.39839,45320.20872,..
Sao Tome and Principe,..,..,1319.900833,1551.192905,1754.600471,1571.49854,1688.375303,1805.524651,1950.629352,1991.738264,2161.310196,2360.543554
Saudi Arabia,7349.704073,8795.261339,23878.58529,23716.26062,23543.56634,19977.79469,19300.05001,20138.14633,23318.73817,22430.23823,19539.56581,23185.87079
Senegal,980.7545188,619.6421035,1334.726015,1391.532257,1417.095074,1238.126396,1290.750004,1385.199333,1484.239673,1462.354333,1490.203137,1636.893209
Serbia,..,914.7857199,6015.945228,6755.073675,6600.056809,5588.980728,5765.200762,6292.543629,7252.401858,7417.203649,7733.802869,9230.178316
Seychelles,5302.843727,7578.851053,11998.4472,14764.93927,15188.22876,15157.53029,15740.13032,16416.77619,16910.68818,17253.50566,12808.98747,14653.30939
Sierra Leone,150.1934224,138.7139416,560.0373997,706.452664,702.3353794,576.7402317,490.3705888,484.4464498,519.6500156,506.6068944,493.4787775,480.0392113
